cmp_info,cmp_etc,code
동사는 1949년 설립되어 경기도 이천시에 본사를 두고 4개의 생산기지와 3개의 연구개발법인 및 여러 해외 판매법인을 운영하는 글로벌 반도체 기업임.,"2025년 상반기 전년동기 대비 연결기준 매출액은 38.2% 증가, 영업이익은 99.3% 증가, 당기순이익은 150.1% 증가.",000660
"메모리 반도체와 Foundry 사업을 영위하며, DRAM과 NAND Flash를 주력 생산하고 있음.","AI향 메모리 수요 성장과 우호적 가격 환경으로 DRAM과 NAND 출하량이 증가했고, 고부가가치 제품 판매로 실적이 개선됨.",000660
생성형 AI 시장의 신기술 등장과 시장 영향력 확대에 따라 고성능/고용량 메모리 솔루션 개발에 주력하고 있음.,"AI 서버와 데이터센터 확산으로 HBM 수요 급증, DRAM은 프리미엄 제품 성장이 예상되며 SSD 수요 증가로 NAND 수급 안정화 전망임.",000660
"동사는 1969년 설립된 글로벌 전자 기업이며, DX 부문 9개, DS 부문 5개 해외 지역총괄과 230개 종속기업으로 구성되어 있음.","2025년 상반기 전년동기 대비 연결기준 매출액은 5.3% 증가, 영업이익은 33.4% 감소, 당기순이익은 20.3% 감소.",005930
"DX 부문은 TV, 냉장고, 스마트폰을, DS 부문은 DRAM, NAND Flash, 모바일AP를, SDC는 OLED 패널을, Harman은 디지털 콕핏과 카오디오를 생산·판매하고 있음.","AI 서버의 견조한 수요로 서버용 DRAM과 SSD 수요가 증가했으며, 선단공정 Capa 전환으로 DRAM Legacy 제품 공급이 축소되어 가격 상승이 나타남.",005930
"업계 최고 수준의 R&D 역량으로 지속적 기술 혁신, 미래 준비를 통해 고객에게 새로운 가치를 제공하고 있음.","하반기는 AI 서버 수요 견조세가 지속될 전망이며, PC와 모바일은 계절적 수요와 On-Device AI 확산으로 수요 증가가 기대됨.",005930
"동사는 1999년 국내 최초 온라인 서점으로 출발, 코스닥 상장사로 7개의 비상장 종속회사를 보유하고 있음.","2025년 상반기 전년동기 대비 연결기준 매출액은 2.6% 감소, 영업이익은 48.1% 감소, 당기순이익 적자전환.",053280
"국내 1위 인터넷 서점을 기반으로 도서 판매, 중고서적 유통, 공연 티켓, 멀티미디어 상품, eBook/웹소설/코믹 등 디지털 콘텐츠를 제공하고 있음.","온라인쇼핑몰에서 전문몰은 27.3% 증가, 종합몰은 2.6% 감소, 모바일쇼핑은 13.1% 증가해 전체 거래액의 77.6%를 차지하며 성장세임.",053280
"크레마 시리즈 eBook 리더기 개발로 디지털 콘텐츠 시장 지배력을 강화하고, 초격차 역량 확보 및 공연/글로벌 비즈니스 강화로 디지털 문화 콘텐츠 사업자로 진화하고 있음.","전자책 시장은 종이책 외에 웹 서비스 소설, 만화, 디바이스 기반 교육 컨텐츠 등으로 확대되고 있음.",053280
