,종목명,현재가,전일대비,등락률
0,동일스틸럭스,"3,640",상한가 840,+30.00%
1,셀루메드,802,상한가 185,+29.98%
2,디에이피,"2,510",상한가 578,+29.92%
3,일승,"8,140","상승 1,610",+24.66%
4,상상인증권,845,상승 164,+24.08%
5,원익홀딩스,"11,390","상승 2,050",+21.95%
6,KD,934,상승 167,+21.77%
7,금강철강,"4,925",상승 870,+21.45%
8,조선선재,"131,000","상승 21,900",+20.07%
9,에이팩트,"3,465",상승 500,+16.86%
10,삼현,"17,330","상승 2,460",+16.54%
11,한스바이오메드,"9,560","상승 1,310",+15.88%
12,젬백스,"56,500","상승 7,250",+14.72%
13,동방선기,"5,760",상승 730,+14.51%
14,뉴로핏,"15,060","상승 1,900",+14.44%
