,종목명,현재가,전일대비,등락률
0,이트론,5,하락 -5,-50.00%
1,이아이디,83,하락 -19,-18.63%
2,오아,"15,000","하락 -3,230",-17.72%
3,압타머사이언스,"1,105",하락 -195,-15.00%
4,딥노이드,"4,895",하락 -835,-14.57%
5,테고사이언스,"16,900","하락 -1,850",-9.87%
6,대양전기공업,"29,000","하락 -3,000",-9.37%
7,그린리소스,"10,690","하락 -1,060",-9.02%
8,HJ중공업,"26,850","하락 -2,350",-8.05%
9,에프알텍,"2,515",하락 -220,-8.04%
10,STX엔진,"43,750","하락 -3,800",-7.99%
11,동성화인텍,"31,375","하락 -2,675",-7.86%
12,디에이치엑스컴퍼니,921,하락 -77,-7.72%
13,고바이오랩,"6,180",하락 -470,-7.07%
14,코아스,"7,890",하락 -590,-6.96%
