,종목명,현재가,전일대비,등락률
0,딥노이드,"4,900",하락 -830,-14.49%
1,그린리소스,"10,720","하락 -1,030",-8.77%
2,동성화인텍,"31,350","하락 -2,700",-7.93%
3,STX엔진,"43,800","하락 -3,750",-7.89%
4,세진중공업,"22,050","하락 -1,450",-6.17%
5,한국카본,"33,450","하락 -2,100",-5.91%
6,솔루엠,"18,240","하락 -1,110",-5.74%
7,우리기술투자,"10,380",하락 -580,-5.29%
8,한미약품,"290,500","하락 -15,500",-5.07%
9,더존비즈온,"80,800","하락 -4,300",-5.05%
10,에스티팜,"93,400","하락 -4,900",-4.98%
11,에스엔시스,"48,700","하락 -2,500",-4.88%
12,태광,"26,150","하락 -1,200",-4.39%
13,HD현대마린엔진,"87,000","하락 -3,900",-4.29%
14,메지온,"53,500","하락 -2,300",-4.12%
